Site;Period1;Period2;Chronology_ka;Excavated_area_m2;Mean_intensity_m2;Compactness;Site_context;Num_hearths;Functionality;Functionality_bi;Duration;Kappa;Scale;Clust_strength;Sibl_prob
AR_Oa;MP;MP;54;194;10.3;0.59;C;13;Residential camp;Residential;Short-term;0.31182;0.243977;4.287333;0.810869
AR_Qa;MP;MP;58;201;90.3;0.71;C;56;Residential camp;Residential;Long-term;0.140574;0.58746;1.640323;0.621259
Callan;UP;Gravettian;27;11;108.3;0.54;C;1;Hunting camp;Non_residential;Short-term;1.300433;0.128954;3.679873;0.786319
Closeau_46;UP;Azilian;14;214;33.2;0.78;OA;1;Hunting camp;Non_residential;Short-term;0.025728;0.933535;3.549131;0.780178
CGran_497D;UP;EarlyUP;37.5;85;109.9;0.8;C;10;Specific activities;Non_residential;Short-term;0.183979;0.566101;1.34969;0.574412
Cuzoul_30;UP;Solutrean;19.5;27;67.5;0.52;C;2;Specific activities;Non_residential;Short-term;0.273962;0.325654;2.738967;0.732546
Etiolles_D71-2;UP;Magdalenian;14;122;18.5;0.69;OA;2;Residential camp;Residential;Short-term;0.088301;0.544127;3.043858;0.752711
Etiolles_U5-P15;UP;Magdalenian;15;571;18.8;0.73;OA;6;Residential camp;Residential;Long-term;0.026713;0.754798;5.228854;0.839457
Fumane_A9;MP;MP;46.5;68;36.9;0.63;C;14;Residential camp;Residential;Short-term;0.205244;0.61025;1.041129;0.510075
Ketrosy1_3;MP;MP;100;140;14.1;0.56;OA;1;Residential camp;Residential;Short-term;0.091005;0.853758;1.199658;0.545384
Molare_56_upper;MP;MP;100;13;52.8;0.49;C;1;Residential camp;Residential;Long-term;2.95973;0.238309;0.473434;0.321313
Molodova1_4;MP;MP;44;1464;3.2;0.59;OA;26;Residential camp;Residential;Long-term;0.012104;3.519284;0.530823;0.346757
Oscur_14;MP;MP;55;11;394.8;0.71;C;0;Specific activities;Non_residential;Short-term;3.129274;0.301305;0.280113;0.218819
Peyrugues_3;UP;Magdalenian;16.5;21;69.1;0.52;C;2;Residential camp;Residential;Short-term;1.07144;0.175709;2.405657;0.706371
Pincevent_IV20;UP;Magdalenian;14;3647;10.7;0.44;OA;18;Residential camp;Residential;Short-term;0.003749;1.320525;12.17251;0.924084
RB_A1;UP;Proto-Aurignacian;41.5;20;37.4;0.32;C;2;Residential camp;Residential;Short-term;1.234597;0.190387;1.778242;0.64006
RB_MS;MP;MP;43;20;30.9;0.4;C;1;Hunting camp;Non_residential;Short-term;0.448515;0.394949;1.13745;0.532153
Salt_X;MP;MP;52;36;40.4;0.37;OA;15;Specific activities;Non_residential;Short-term;2.537947;0.305123;0.33679;0.251939
Saleux_234;UP;Azilian;12.9;199;24.3;0.66;OA;1;Residential camp;Residential;Short-term;0.026125;1.242942;1.971679;0.66349
Teix_IIIb;MP;MP;47.5;73;185.6;0.32;C;0;Residential camp;Residential;Short-term;0.2544;0.612382;0.834118;0.454779
Wall_A;MP;MP;120;161;8.4;0.52;OA;1;Residential camp;Residential;Short-term;0.100033;0.595344;2.244464;0.691783
